LOCAL_VALUE - TEXT1,LOCAL_VALUE - TEXT2,LOCAL_VALUE - TEXT3,,API_VALUE - TEXT1,API_VALUE - TEXT2,API_VALUE - TEXT3,,DIFFERENCES - TEXT1,DIFFERENCES - TEXT2,DIFFERENCES - TEXT3,
0000,0000,0000,,0000ty,0000,0000,,0000ty,,,
1111,1111,1111,,1111,1111,1111,,,,,
2222,2222,2222,,2222,2222,2222,,,,,
3333,3333,3333,,3333,3333,3333,,,,,
4444,4444,4444,,4444,4444,4444,,,,,
5555,5555,5555,,5555pu,5555,5555,,5555pu,,,
6666,6666,6666,,6666sg,6666,6666,,6666sg,,,
7777,7777,7777,,7777ec,7777,7777,,7777ec,,,
8888,8888,8888,,8888,8888tf,8888,,,8888tf,,
9999,9999,9999,,9999,9999,9999,,,,,
10101010,10101010,10101010,,10101010,10101010,10101010,,,,,
11111111,11111111,11111111,,11111111,11111111,11111111,,,,,
12121212,12121212,12121212,,12121212,12121212,12121212,,,,,
13131313,13131313,13131313,,13131313,13131313,13131313,,,,,
14141414,14141414,14141414,,14141414yx,14141414,14141414,,14141414yx,,,
15151515,15151515,15151515,,15151515,15151515,15151515,,,,,
16161616,16161616,16161616,,16161616,16161616,16161616,,,,,
17171717,17171717,17171717,,17171717,17171717,17171717,,,,,
18181818,18181818,18181818,,18181818,18181818,18181818qz,,,,18181818qz,
19191919,19191919,19191919,,19191919px,19191919,19191919,,19191919px,,,
20202020,20202020,20202020,,20202020,20202020,20202020,,,,,
21212121,21212121,21212121,,21212121,21212121,21212121,,,,,
22222222,22222222,22222222,,22222222,22222222qr,22222222,,,22222222qr,,
23232323,23232323,23232323,,23232323,23232323,23232323,,,,,
24242424,24242424,24242424,,24242424,24242424,24242424,,,,,
25252525,25252525,25252525,,25252525eg,25252525,25252525,,25252525eg,,,
26262626,26262626,26262626,,26262626,26262626,26262626,,,,,
27272727,27272727,27272727,,27272727,27272727,27272727,,,,,
28282828,28282828,28282828,,28282828cz,28282828,28282828,,28282828cz,,,
29292929,29292929,29292929,,29292929,29292929,29292929yn,,,,29292929yn,
30303030,30303030,30303030,,30303030,30303030,30303030,,,,,
31313131,31313131,31313131,,31313131,31313131,31313131,,,,,
32323232,32323232,32323232,,32323232ms,32323232,32323232,,32323232ms,,,
33333333,33333333,33333333,,33333333,33333333,33333333,,,,,
34343434,34343434,34343434,,34343434,34343434,34343434,,,,,
35353535,35353535,35353535,,35353535,35353535,35353535,,,,,
36363636,36363636,36363636,,36363636,36363636,36363636,,,,,
37373737,37373737,37373737,,37373737,37373737,37373737,,,,,
38383838,38383838,38383838,,38383838,38383838,38383838,,,,,
39393939,39393939,39393939,,39393939,39393939,39393939,,,,,
40404040,40404040,40404040,,40404040,40404040,40404040,,,,,
41414141,41414141,41414141,,41414141zy,41414141,41414141,,41414141zy,,,
42424242,42424242,42424242,,42424242,42424242,42424242,,,,,
43434343,43434343,43434343,,43434343,43434343,43434343kl,,,,43434343kl,
44444444,44444444,44444444,,44444444,44444444,44444444,,,,,
45454545,45454545,45454545,,45454545,45454545yo,45454545,,,45454545yo,,
46464646,46464646,46464646,,46464646bq,46464646,46464646,,46464646bq,,,
47474747,47474747,47474747,,47474747,47474747on,47474747,,,47474747on,,
48484848,48484848,48484848,,48484848,48484848,48484848,,,,,
49494949,49494949,49494949,,49494949,49494949,49494949,,,,,
50505050,50505050,50505050,,50505050,50505050,50505050,,,,,
51515151,51515151,51515151,,51515151,51515151,51515151ga,,,,51515151ga,
52525252,52525252,52525252,,52525252,52525252qx,52525252,,,52525252qx,,
53535353,53535353,53535353,,53535353,53535353sz,53535353,,,53535353sz,,
54545454,54545454,54545454,,54545454,54545454,54545454ni,,,,54545454ni,
55555555,55555555,55555555,,55555555,55555555,55555555,,,,,
56565656,56565656,56565656,,56565656,56565656,56565656af,,,,56565656af,
57575757,57575757,57575757,,57575757,57575757mr,57575757,,,57575757mr,,
58585858,58585858,58585858,,58585858,58585858,58585858,,,,,
59595959,59595959,59595959,,59595959,59595959,59595959,,,,,
60606060,60606060,60606060,,60606060da,60606060,60606060,,60606060da,,,
61616161,61616161,61616161,,61616161,61616161,61616161rf,,,,61616161rf,
62626262,62626262,62626262,,62626262,62626262,62626262,,,,,
63636363,63636363,63636363,,63636363xl,63636363,63636363,,63636363xl,,,
64646464,64646464,64646464,,64646464,64646464,64646464,,,,,
65656565,65656565,65656565,,65656565,65656565,65656565,,,,,
66666666,66666666,66666666,,66666666,66666666,66666666,,,,,
67676767,67676767,67676767,,67676767,67676767,67676767,,,,,
68686868,68686868,68686868,,68686868,68686868jp,68686868,,,68686868jp,,
69696969,69696969,69696969,,69696969,69696969,69696969,,,,,
70707070,70707070,70707070,,70707070,70707070,70707070,,,,,
71717171,71717171,71717171,,71717171iq,71717171,71717171,,71717171iq,,,
72727272,72727272,72727272,,72727272,72727272,72727272dx,,,,72727272dx,
73737373,73737373,73737373,,73737373,73737373,73737373,,,,,
74747474,74747474,74747474,,74747474,74747474,74747474,,,,,
75757575,75757575,75757575,,75757575,75757575,75757575,,,,,
76767676,76767676,76767676,,76767676,76767676,76767676,,,,,
77777777,77777777,77777777,,77777777,77777777ik,77777777,,,77777777ik,,
78787878,78787878,78787878,,78787878zt,78787878,78787878,,78787878zt,,,
79797979,79797979,79797979,,79797979dp,79797979,79797979,,79797979dp,,,
80808080,80808080,80808080,,80808080yj,80808080,80808080,,80808080yj,,,
81818181,81818181,81818181,,81818181,81818181xh,81818181,,,81818181xh,,
82828282,82828282,82828282,,82828282,82828282,82828282,,,,,
83838383,83838383,83838383,,83838383,83838383,83838383,,,,,
84848484,84848484,84848484,,84848484,84848484,84848484,,,,,
85858585,85858585,85858585,,85858585,85858585,85858585,,,,,
86868686,86868686,86868686,,86868686,86868686,86868686pt,,,,86868686pt,
87878787,87878787,87878787,,87878787,87878787,87878787ut,,,,87878787ut,
88888888,88888888,88888888,,88888888pz,88888888,88888888,,88888888pz,,,
89898989,89898989,89898989,,89898989,89898989,89898989,,,,,
90909090,90909090,90909090,,90909090,90909090,90909090,,,,,
91919191,91919191,91919191,,91919191,91919191,91919191,,,,,
92929292,92929292,92929292,,92929292,92929292,92929292,,,,,
93939393,93939393,93939393,,93939393,93939393,93939393zq,,,,93939393zq,
94949494,94949494,94949494,,94949494,94949494,94949494,,,,,
95959595,95959595,95959595,,95959595vy,95959595,95959595,,95959595vy,,,
96969696,96969696,96969696,,96969696,96969696,96969696eh,,,,96969696eh,
97979797,97979797,97979797,,97979797,97979797,97979797,,,,,
98989898,98989898,98989898,,98989898,98989898,98989898,,,,,
99999999,99999999,99999999,,99999999fm,99999999,99999999,,99999999fm,,,
100100100100,100100100100,100100100100,,100100100100,100100100100,100100100100,,,,,
101101101101,101101101101,101101101101,,101101101101,101101101101hw,101101101101,,,101101101101hw,,
102102102102,102102102102,102102102102,,102102102102,102102102102,102102102102,,,,,
103103103103,103103103103,103103103103,,103103103103,103103103103,103103103103,,,,,
104104104104,104104104104,104104104104,,104104104104,104104104104vf,104104104104,,,104104104104vf,,
105105105105,105105105105,105105105105,,105105105105cl,105105105105,105105105105,,105105105105cl,,,
106106106106,106106106106,106106106106,,106106106106,106106106106,106106106106,,,,,
107107107107,107107107107,107107107107,,107107107107,107107107107ji,107107107107,,,107107107107ji,,
108108108108,108108108108,108108108108,,108108108108pv,108108108108,108108108108,,108108108108pv,,,
109109109109,109109109109,109109109109,,109109109109,109109109109,109109109109,,,,,
110110110110,110110110110,110110110110,,110110110110,110110110110qu,110110110110,,,110110110110qu,,
111111111111,111111111111,111111111111,,111111111111,111111111111,111111111111,,,,,
112112112112,112112112112,112112112112,,112112112112,112112112112,112112112112,,,,,
113113113113,113113113113,113113113113,,113113113113,113113113113bh,113113113113,,,113113113113bh,,
114114114114,114114114114,114114114114,,114114114114,114114114114ht,114114114114,,,114114114114ht,,
115115115115,115115115115,115115115115,,115115115115,115115115115kr,115115115115,,,115115115115kr,,
116116116116,116116116116,116116116116,,116116116116,116116116116,116116116116,,,,,
117117117117,117117117117,117117117117,,117117117117,117117117117,117117117117ly,,,,117117117117ly,
118118118118,118118118118,118118118118,,118118118118,118118118118,118118118118bd,,,,118118118118bd,
119119119119,119119119119,119119119119,,119119119119,119119119119,119119119119,,,,,
